OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-01","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-01-02","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-02","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-02","475","Women's Mountain Shorts, M","69.99","5.5992"
"2016-01-02","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-02","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-02","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-02","606","Road-750 Black, 52","539.99","43.1992"
"2016-01-03","310","Road-150 Red, 62","3578.27","286.2616"
"2016-01-03","234","Long-Sleeve Logo Jersey, L","49.99","3.9992"
"2016-01-03","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-04","334","Road-650 Black, 60","699.0982","55.9279"
"2016-01-04","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-05","231","Long-Sleeve Logo Jersey, M","49.99","3.9992"
"2016-01-05","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-05","353","Mountain-200 Silver, 38","2319.99","185.5992"
"2016-01-06","369","Road-250 Red, 48","2443.35","195.468"
"2016-01-06","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-06","481","Racing Socks, M","8.99","0.7192"
"2016-01-06","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-07","314","Road-150 Red, 56","3578.27","286.2616"
"2016-01-07","467","Half-Finger Gloves, L","24.49","1.9592"
"2016-01-07","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-07","593","Mountain-500 Silver, 44","564.99","45.1992"
"2016-01-08","337","Road-650 Black, 62","782.99","62.6392"
"2016-01-08","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-08","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-08","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-08","540","HL Road Tire","32.6","2.608"
"2016-01-08","476","Women's Mountain Shorts, L","69.99","5.5992"
"2016-01-08","567","Touring-3000 Blue, 62","742.35","59.388"
"2016-01-08","353","Mountain-200 Silver, 38","2319.99","185.5992"
"2016-01-09","371","Road-250 Red, 58","2181.5625","174.525"
"2016-01-09","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-09","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-09","481","Racing Socks, M","8.99","0.7192"
"2016-01-09","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-10","582","Road-350-W Yellow, 44","1700.99","136.0792"
"2016-01-10","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-10","580","Road-350-W Yellow, 40","1700.99","136.0792"
"2016-01-10","529","Road Tire Tube","3.99","0.3192"
"2016-01-10","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-10","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-11","341","Road-650 Black, 48","782.99","62.6392"
"2016-01-11","361","Mountain-200 Black, 42","2294.99","183.5992"
"2016-01-11","472","Classic Vest, M","63.5","5.08"
"2016-01-11","529","Road Tire Tube","3.99","0.3192"
"2016-01-12","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-12","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-12","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-12","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-12","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-12","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-13","352","Mountain-200 Silver, 38","2071.4196","165.7136"
"2016-01-13","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-13","586","Touring-3000 Blue, 50","742.35","59.388"
"2016-01-13","580","Road-350-W Yellow, 40","1700.99","136.0792"
"2016-01-13","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-13","605","Road-750 Black, 48","539.99","43.1992"
"2016-01-14","327","Road-650 Red, 44","782.99","62.6392"
"2016-01-14","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-14","536","ML Mountain Tire","29.99","2.3992"
"2016-01-14","479","Road Bottle Cage","8.99","0.7192"
"2016-01-14","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-15","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-15","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-15","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-16","491","Short-Sleeve Classic Jersey, XL","53.99","4.3192"
"2016-01-16","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-16","378","Road-250 Black, 52","2443.35","195.468"
"2016-01-17","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-17","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-17","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-18","529","Road Tire Tube","3.99","0.3192"
"2016-01-18","596","Mountain-500 Black, 40","539.99","43.1992"
"2016-01-18","486","All-Purpose Bike Stand","159","12.72"
"2016-01-19","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-01-19","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-19","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-19","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-19","372","Road-250 Red, 58","2443.35","195.468"
"2016-01-20","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-20","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-20","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-20","580","Road-350-W Yellow, 40","1700.99","136.0792"
"2016-01-20","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-21","568","Touring-3000 Yellow, 44","742.35","59.388"
"2016-01-21","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-21","529","Road Tire Tube","3.99","0.3192"
"2016-01-21","467","Half-Finger Gloves, L","24.49","1.9592"
"2016-01-22","488","Short-Sleeve Classic Jersey, S","53.99","4.3192"
"2016-01-22","540","HL Road Tire","32.6","2.608"
"2016-01-22","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-23","313","Road-150 Red, 52","3578.27","286.2616"
"2016-01-23","540","HL Road Tire","32.6","2.608"
"2016-01-23","476","Women's Mountain Shorts, L","69.99","5.5992"
"2016-01-24","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-24","231","Long-Sleeve Logo Jersey, M","49.99","3.9992"
"2016-01-25","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-25","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-25","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-26","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-26","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-27","535","LL Mountain Tire","24.99","1.9992"
"2016-01-27","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-27","225","AWC Logo Cap","8.99","0.7192"
"2016-01-27","529","Road Tire Tube","3.99","0.3192"
"2016-01-27","569","Touring-3000 Yellow, 50","742.35","59.388"
"2016-01-27","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-27","529","Road Tire Tube","3.99","0.3192"
"2016-01-27","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-27","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-27","537","HL Mountain Tire","35","2.8"
"2016-01-27","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-28","357","Mountain-200 Silver, 46","2319.99","185.5992"
"2016-01-28","538","LL Road Tire","21.49","1.7192"
"2016-01-28","475","Women's Mountain Shorts, M","69.99","5.5992"
"2016-01-28","536","ML Mountain Tire","29.99","2.3992"
"2016-01-28","535","LL Mountain Tire","24.99","1.9992"
"2016-01-28","380","Road-250 Black, 58","2443.35","195.468"
"2016-01-29","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-29","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-29","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-29","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-30","355","Mountain-200 Silver, 42","2319.99","185.5992"
"2016-01-30","529","Road Tire Tube","3.99","0.3192"
"2016-01-30","479","Road Bottle Cage","8.99","0.7192"
"2016-01-30","604","Road-750 Black, 44","539.99","43.1992"
"2016-01-30","361","Mountain-200 Black, 42","2294.99","183.5992"
"2016-01-30","583","Road-350-W Yellow, 48","1700.99","136.0792"
"2016-01-31","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-31","479","Road Bottle Cage","8.99","0.7192"
"2016-01-31","228","Long-Sleeve Logo Jersey, S","49.99","3.9992"
"2016-01-31","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-02-01","537","HL Mountain Tire","35","2.8"
"2016-02-01","482","Racing Socks, L","8.99","0.7192"
"2016-02-01","529","Road Tire Tube","3.99","0.3192"
"2016-02-02","352","Mountain-200 Silver, 38","2071.4196","165.7136"
